Word,SemD
on,5.484308635562426
a,5.474571135997611
me,5.450958073579964
he,5.384756765504644
in,5.384100443343299
no,5.380123337177586
of,5.376171452619567
but,5.372079539354318
was,5.371128013607032
is,5.363736041618514
had,5.347064536399355
i,5.346326507737064
the,5.343432250089339
to,5.342518709487492
as,5.341768296799523
for,5.341356711533839
so,5.340060924851591
and,5.338514393484112
at,5.3372443692344484
all,5.336847514695725
that,5.336009995236241
it,5.334807962549774
with,5.332564891891248
be,5.331866287398887
not,5.331470767526849
or,5.329641664662813
have,5.329142910358813
his,5.325016591134219
this,5.32496094377835
by,5.324492512419526
there,5.322849039973349
if,5.32110816120471
one,5.320398292410018
when,5.3200952261617465
what,5.319943144261927
an,5.319722970479235
from,5.317977997456488
do,5.313847878914367
out,5.311348966382958
him,5.309093350186517
they,5.3062792654714235
would,5.300873895863767
up,5.29797807016157
now,5.294714717734355
man,5.2946048736934745
then,5.289938623808309
more,5.2884980062777585
which,5.281369947598
them,5.278650098713594
been,5.276358842968455
you,5.275095856987562
were,5.2746066159589775
who,5.269567325658764
are,5.269052001398162
into,5.266456301134614
like,5.26601626754743
could,5.264626472275307
time,5.263790069735507
some,5.2612582216403805
my,5.2610567317056836
long,5.260189854421243
we,5.258667596985021
see,5.257965381508593
about,5.251490891427001
did,5.2509908423203235
said,5.250893413914089
very,5.250647212633354
come,5.248957455406508
than,5.244248473560541
down,5.2432483128690555
before,5.242448688461939
little,5.239721627051581
will,5.237236636191154
know,5.234791822898224
never,5.233292829419181
any,5.232584847173941
well,5.231705783250961
only,5.22941034478653
good,5.228942464723487
over,5.224531522479467
made,5.223650012195319
how,5.221912176270631
can,5.220255912328078
other,5.2200606763284405
say,5.216833528293283
their,5.207766979285967
too,5.2028376193924775
go,5.202002687739469
way,5.200892897645662
again,5.198793587585914
such,5.1942987665964635
after,5.193714080032299
place,5.193479187672271
much,5.192968819193086
make,5.192831383885511
put,5.190280467262908
away,5.1888861890638545
here,5.187394500380711
two,5.185235210226464
should,5.1835067241514805
first,5.183218490761207
where,5.182909783554785
old,5.181929058930919
must,5.181098000940039
take,5.179893956690299
own,5.172335544430971
back,5.16536041980174
even,5.163146606989797
nothing,5.162303271355127
think,5.1622215666502225
hand,5.1608178286648
upon,5.158856516234402
still,5.15606671316195
these,5.153818690245757
last,5.152435287259929
has,5.149733055988519
her,5.146829968576747
great,5.140396370994485
ever,5.1384728574612195
yet,5.133470153409497
might,5.132832492648237
day,5.13271598782851
without,5.132547924439788
look,5.128080283546991
through,5.125752381503086
another,5.124617726362577
came,5.1232732773244605
once,5.123127530300861
face,5.122009383250223
life,5.121192379212614
head,5.1211078015427205
done,5.119502622016068
off,5.119035260740749
let,5.117137640223741
thought,5.110909939660802
us,5.10908064381307
being,5.103690171601562
just,5.10316983053832
same,5.103069409548056
your,5.100244927467015
while,5.099731789469281
every,5.0996724098656925
moment,5.098200973223194
may,5.096761679571514
right,5.095549936170022
himself,5.094625460511512
most,5.094401442206146
give,5.092784995764482
though,5.087978610622647
our,5.0772575499671735
left,5.077024854561029
thing,5.073786861920981
better,5.070090403411653
mind,5.069390861898397
those,5.068719669956069
eyes,5.067165965325798
many,5.06351181870153
she,5.063391980755277
am,5.063108919172588
went,5.06159039129875
things,5.059451872073924
something,5.0583848005683505
under,5.055826723549725
always,5.053607263200183
tell,5.049044786345561
get,5.048797582600154
hands,5.048517762999612
took,5.047976984515509
why,5.040487732188066
found,5.0368013111827805
seen,5.036660311888866
men,5.033799437815937
heard,5.033212974341729
people,5.017459980931703
against,5.013261201404806
its,5.0128941927844854
night,5.008679312083128
saw,5.00857371198763
got,5.005246391338483
going,5.00276934825269
told,4.993780801960845
three,4.992245700795229
world,4.985959928890785
looked,4.97890967737713
young,4.975414142544086
shall,4.973468378313765
heart,4.9693826303493625
house,4.961659409662307
quite,4.955676612449836
because,4.954171361340735
new,4.952776309322588
round,4.938809553169862
knew,4.93729100995572
oh,4.919753375904141
work,4.883629777761154
years,4.877522927549272
myself,4.837982507481307
yes,4.8144884406553885
door,4.784260390314114
room,4.783756634393001
love,4.732750780707777
woman,4.729990628822616
son,4.696783850877073
dear,4.696136435478355
sir,4.662598082682488
lady,4.613166401059761
says,4.593349574458947
father,4.584287480813103
met,4.52752022583756
lord,4.511037828554667
o,4.3729747500044045
de,4.320661911029006
die,4.300875769212164
miss,4.286438939003141
king,4.12694381340857
la,3.972460181766215
en,3.9578613851518982
mr,3.8838330768232496
et,3.795736394551252
le,3.760766804623661
des,3.750246237771362
se,3.7014170656615746
ne,3.693188588621098
pour,3.668360915904705
je,3.6443265917190097
du,3.643263955633251
pas,3.641130905376988
un,3.6329213975198997
les,3.6241229425363417
y,3.6041908308856203
que,3.587617664516294
dit,3.554454387921497
si,3.5291748978551882
il,3.5036992398136633
qui,3.4999762205374876
sur,3.48677909940047
bien,3.4817938986362047
par,3.4809275770788792
au,3.471418406494189
ce,3.4666562980673072
tout,3.4606774541470884
dans,3.4553831757262143
une,3.448812913198035
comme,3.4484760765060383
plus,3.447492180531608
mais,3.440263326419003
sa,3.4399596835791177
lui,3.4357185604378
ses,3.4310592481834017
avec,3.408216515242605
vous,3.4076447346470458
nous,3.3817422101783596
avait,3.350920861683906
elle,3.3392061741222694
te,3.0785284457027347
ja,2.968694965299214
den,2.7766531883978733
kun,2.5309837961482335
van,2.530230641454813
sen,2.4624698711050237
ei,2.4421227987479583
niin,2.4230413414614356
kuin,2.4228281557309286
oli,2.420273537341317
joka,2.4200643919804112
dat,2.393817041740039
mutta,2.3825609672977683
sanoi,2.3548626004868605
op,2.1597295402950243
een,2.11714533484106
het,2.1045541492011792
ik,2.0529772975847727
hij,2.0503769179531233
